Reportnumber,CircumstancesCode,DriverID,NonMotoristID,PassengerID,Vehicleid,CrashPoint,Latitude (generated),Longitude (generated)
ADG503001V,*,*,,,*,Point,39.298249304,-76.597592520
ADG503001N,*,*,,*,*,Point,39.299203597,-76.600142118
ADG503001L,*,*,,,*,Point,39.294163705,-76.609316918
ADG503001D,*,*,,b155cef0-e776-45db-ae16-4e40ecb7dd58,*,Point,39.299047383,-76.603727623
ADG503001C,*,*,,1e32b175-3e95-4c24-8bc7-cf6c2ad141a5,*,Point,39.299175012,-76.603727196
ADG503000Y,*,*,,*,*,Point,39.307906827,-76.608945428
ADG503000W,*,71fa8146-f606-4e2c-aad5-49a9f4135318,25584f0e-ab01-4bee-8b2b-03cc62e19a0d,,36db5e70-2447-4a15-858c-c82e254bdae6,Point,39.313216484,-76.596271978
ADG503000V,*,*,,,*,Point,39.345315728,-76.622098981
ADG493007G,N/A,*,,c3e1bb98-2a82-47c3-b7fd-b6a257977788,*,Point,39.314258180,-76.582131705
ADG493007B,N/A,*,,,*,Point,39.322559933,-76.596718741
ADG493006Z,N/A,*,,*,*,Point,39.315531730,-76.597911106
ADG493006V,*,*,,,*,Point,39.307181035,-76.602464861
ADG493006M,*,eb273ef3-beaf-4e4b-87d6-fe43a6fff2eb,,,*,Point,39.312548899,-76.602254462
ADG493006J,N/A,*,,,*,Point,39.304836960,-76.608223719
ADG493006G,N/A,*,,d0c0a267-5ce8-4cb4-b4e6-66e462f9b48b,*,Point,39.310998210,-76.585886712
ADG493006D,N/A,*,,0acedfff-4a91-47ac-a821-81602004b4c5,*,Point,39.296395510,-76.567191891
ADG493005X,N/A,*,,12d1b091-d9e5-461c-b31b-9185a4f8ca20,*,Point,39.299341100,-76.569875945
ADG493005W,N/A,*,,14969f7e-7fb7-4d70-a698-2df1093b6c7a,*,Point,39.299162151,-76.569807194
ADG493005L,*,fbfae0ea-4aba-48b5-8328-3b49d958cffe,,*,dea49e37-ceea-45ea-ac64-03feb7e1093d,Point,39.313939656,-76.573121166
ADG493004Z,N/A,f7fc4249-01d2-457b-9ba4-4073aadcfcbb,03c22bcb-a5a1-4af5-9f39-b00b8f5fa3ea,,97aca0e4-762c-407c-996b-490b165da6ba,Point,39.298810958,-76.582850245
ADG493004Y,N/A,*,,*,*,Point,39.309072191,-76.580105667
ADG493004W,N/A,*,,*,*,Point,39.308903055,-76.584333462
ADG493004V,*,*,,*,*,Point,39.300024167,-76.589664391
ADG476001V,*,*,,,*,Point,39.339698395,-76.669458514
ADG476001R,*,*,,,*,Point,39.338720331,-76.668364828
ADG476001P,*,*,,dc07a767-0062-4e72-97b9-35bc780084be,*,Point,39.342757657,-76.694746842
ADG476001J,*,*,,,*,Point,39.334272446,-76.692560261
ADG476001H,*,*,,*,*,Point,39.336630234,-76.687028868
ADG476001G,N/A,*,,,*,Point,39.339732649,-76.689362765
ADG476001F,N/A,*,,,*,Point,39.320703457,-76.677532191
ADG476001C,*,*,,,*,Point,39.349196047,-76.692422453
ADG469001Y,N/A,*,,,*,Point,39.284493016,-76.623252764
ADG469001X,N/A,*,,,*,Point,39.266022553,-76.614750974
ADG469001V,N/A,b34f26ef-69d4-4450-aedb-ac07d90c3746,,,2f9854f4-83c2-46e8-b3df-fee7b398662f,Point,39.269852101,-76.600409201
ADG469001Q,N/A,f117e1d0-86ed-400b-acc2-c4eda207a941,,*,*,Point,39.264375684,-76.614676250
